"ID","TRUCK_ID","STATION_ID","STATION_TYPE","BUFFER","FINISHED","STATUS","START_TIME","END_TIME","TRUCK_LOAD"
332,1,4,Unload,Processing,Yes,d,"0,332723210752593","0,366157655197037",300
333,12,4,Unload,Input,Yes,cd,"0,332724199282963","0,366157655197037",
334,20,4,Unload,Input,Yes,cd,"0,332725187813333","0,379362655197037",
335,23,4,Unload,Input,Yes,cd,"0,332726176343704","0,393529321863704",
336,27,4,Unload,Input,Yes,cd,"0,332727164874074","0,472001544085926",
337,29,4,Unload,Input,Yes,cd,"0,332728153404444","0,495557099641481",
338,54,4,Unload,Input,Yes,cd,"0,332728948469085","0,506967377419259",
339,55,4,Unload,Input,Yes,cd,"0,332729743533727","0,520763766308148",
340,56,4,Unload,Input,Yes,cd,"0,332730732064097","0,541081266308148",
341,60,4,Unload,Input,Yes,cd,"0,332731720594467","0,562322099641482",
